service_type,program_area,sector,classification,count,capacity,occupancy_rate
Shelter,Base Program - Refugee,Mixed Adult,Emergency,6,6,100
24-Hour Respite Site,Base Shelter and Overnight Services System,Mixed Adult,Emergency,32,32,100
Shelter,Base Program - Refugee,Mixed Adult,Emergency,8,8,100
Warming Centre,Winter Programs,Mixed Adult,Emergency,22,23,95.65
Warming Centre,Winter Programs,Mixed Adult,Emergency,48,48,100
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Transitional,93,93,100
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Transitional,31,35,88.57
24-Hour Respite Site,Base Shelter and Overnight Services System,Mixed Adult,Emergency,77,77,100
24-Hour Respite Site,Winter Programs,Mixed Adult,Emergency,147,150,98
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Emergency,62,62,100
Warming Centre,Winter Programs,Mixed Adult,Emergency,45,46,97.83
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Transitional,5,5,100
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Transitional,9,10,90
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Emergency,69,69,100
24-Hour Respite Site,Base Shelter and Overnight Services System,Mixed Adult,Emergency,63,69,91.3
Warming Centre,Winter Programs,Mixed Adult,Emergency,60,60,100
24-Hour Respite Site,Winter Programs,Mixed Adult,Emergency,141,149,94.63
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Emergency,109,111,98.2
24-Hour Respite Site,Temporary Refugee Response,Mixed Adult,Emergency,33,33,100
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Emergency,85,85,100
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Emergency,49,49,100
24-Hour Respite Site,Base Shelter and Overnight Services System,Mixed Adult,Emergency,30,30,100
24-Hour Respite Site,Base Shelter and Overnight Services System,Mixed Adult,Emergency,72,72,100
Shelter,Base Program - Refugee,Mixed Adult,Emergency,94,94,100
Shelter,Base Program - Refugee,Mixed Adult,Emergency,6,6,100
24-Hour Respite Site,Base Shelter and Overnight Services System,Mixed Adult,Emergency,32,32,100
Shelter,Base Program - Refugee,Mixed Adult,Emergency,7,8,87.5
Warming Centre,Winter Programs,Mixed Adult,Emergency,23,23,100
Warming Centre,Winter Programs,Mixed Adult,Emergency,48,48,100
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Transitional,92,93,98.92
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Transitional,31,35,88.57
24-Hour Respite Site,Base Shelter and Overnight Services System,Mixed Adult,Emergency,77,77,100
24-Hour Respite Site,Winter Programs,Mixed Adult,Emergency,150,150,100
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Emergency,61,61,100
Warming Centre,Winter Programs,Mixed Adult,Emergency,44,46,95.65
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Transitional,5,5,100
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Transitional,9,10,90
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Emergency,69,69,100
24-Hour Respite Site,Base Shelter and Overnight Services System,Mixed Adult,Emergency,64,69,92.75
Warming Centre,Winter Programs,Mixed Adult,Emergency,59,60,98.33
24-Hour Respite Site,Winter Programs,Mixed Adult,Emergency,147,150,98
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Emergency,110,112,98.21
24-Hour Respite Site,Temporary Refugee Response,Mixed Adult,Emergency,34,34,100
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Emergency,86,86,100
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Emergency,49,49,100
24-Hour Respite Site,Base Shelter and Overnight Services System,Mixed Adult,Emergency,30,30,100
24-Hour Respite Site,Base Shelter and Overnight Services System,Mixed Adult,Emergency,72,72,100
Shelter,Base Program - Refugee,Mixed Adult,Emergency,94,94,100
Shelter,Base Program - Refugee,Mixed Adult,Emergency,6,6,100
24-Hour Respite Site,Base Shelter and Overnight Services System,Mixed Adult,Emergency,32,32,100
Shelter,Base Program - Refugee,Mixed Adult,Emergency,7,8,87.5
Warming Centre,Winter Programs,Mixed Adult,Emergency,22,23,95.65
Warming Centre,Winter Programs,Mixed Adult,Emergency,48,48,100
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Transitional,93,93,100
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Transitional,32,35,91.43
24-Hour Respite Site,Base Shelter and Overnight Services System,Mixed Adult,Emergency,77,77,100
24-Hour Respite Site,Winter Programs,Mixed Adult,Emergency,150,150,100
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Emergency,61,61,100
Warming Centre,Winter Programs,Mixed Adult,Emergency,45,46,97.83
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Transitional,5,5,100
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Transitional,9,10,90
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Emergency,69,69,100
24-Hour Respite Site,Base Shelter and Overnight Services System,Mixed Adult,Emergency,64,68,94.12
Warming Centre,Winter Programs,Mixed Adult,Emergency,59,60,98.33
24-Hour Respite Site,Winter Programs,Mixed Adult,Emergency,145,150,96.67
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Emergency,110,112,98.21
24-Hour Respite Site,Temporary Refugee Response,Mixed Adult,Emergency,32,32,100
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Emergency,86,86,100
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Emergency,49,49,100
24-Hour Respite Site,Base Shelter and Overnight Services System,Mixed Adult,Emergency,30,30,100
24-Hour Respite Site,Base Shelter and Overnight Services System,Mixed Adult,Emergency,72,72,100
Shelter,Base Program - Refugee,Mixed Adult,Emergency,94,94,100
Shelter,Base Program - Refugee,Mixed Adult,Emergency,6,6,100
24-Hour Respite Site,Base Shelter and Overnight Services System,Mixed Adult,Emergency,32,32,100
Shelter,Base Program - Refugee,Mixed Adult,Emergency,7,8,87.5
Warming Centre,Winter Programs,Mixed Adult,Emergency,23,23,100
Warming Centre,Winter Programs,Mixed Adult,Emergency,48,48,100
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Transitional,93,93,100
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Transitional,31,35,88.57
24-Hour Respite Site,Base Shelter and Overnight Services System,Mixed Adult,Emergency,77,78,98.72
24-Hour Respite Site,Winter Programs,Mixed Adult,Emergency,149,150,99.33
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Emergency,61,61,100
Warming Centre,Winter Programs,Mixed Adult,Emergency,46,46,100
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Transitional,5,5,100
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Transitional,9,10,90
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Emergency,68,69,98.55
24-Hour Respite Site,Base Shelter and Overnight Services System,Mixed Adult,Emergency,64,68,94.12
Warming Centre,Winter Programs,Mixed Adult,Emergency,57,60,95
24-Hour Respite Site,Winter Programs,Mixed Adult,Emergency,149,150,99.33
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Emergency,112,112,100
24-Hour Respite Site,Temporary Refugee Response,Mixed Adult,Emergency,38,38,100
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Emergency,86,86,100
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Emergency,49,49,100
24-Hour Respite Site,Base Shelter and Overnight Services System,Mixed Adult,Emergency,30,30,100
24-Hour Respite Site,Base Shelter and Overnight Services System,Mixed Adult,Emergency,72,72,100
Shelter,Base Program - Refugee,Mixed Adult,Emergency,94,94,100
Shelter,Base Program - Refugee,Mixed Adult,Emergency,6,6,100
24-Hour Respite Site,Base Shelter and Overnight Services System,Mixed Adult,Emergency,32,32,100
Shelter,Base Program - Refugee,Mixed Adult,Emergency,7,8,87.5
Warming Centre,Winter Programs,Mixed Adult,Emergency,23,23,100
Warming Centre,Winter Programs,Mixed Adult,Emergency,48,48,100
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Transitional,93,93,100
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Transitional,31,35,88.57
24-Hour Respite Site,Base Shelter and Overnight Services System,Mixed Adult,Emergency,78,78,100
24-Hour Respite Site,Winter Programs,Mixed Adult,Emergency,150,150,100
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Emergency,61,61,100
Warming Centre,Winter Programs,Mixed Adult,Emergency,46,46,100
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Transitional,5,5,100
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Transitional,9,10,90
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Emergency,69,69,100
24-Hour Respite Site,Base Shelter and Overnight Services System,Mixed Adult,Emergency,62,68,91.18
Warming Centre,Winter Programs,Mixed Adult,Emergency,60,60,100
24-Hour Respite Site,Winter Programs,Mixed Adult,Emergency,149,150,99.33
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Emergency,112,112,100
24-Hour Respite Site,Temporary Refugee Response,Mixed Adult,Emergency,38,38,100
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Emergency,87,87,100
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Emergency,49,49,100
24-Hour Respite Site,Base Shelter and Overnight Services System,Mixed Adult,Emergency,30,30,100
24-Hour Respite Site,Base Shelter and Overnight Services System,Mixed Adult,Emergency,72,72,100
Shelter,Base Program - Refugee,Mixed Adult,Emergency,94,94,100
Shelter,Base Program - Refugee,Mixed Adult,Emergency,6,6,100
24-Hour Respite Site,Base Shelter and Overnight Services System,Mixed Adult,Emergency,32,32,100
Shelter,Base Program - Refugee,Mixed Adult,Emergency,7,8,87.5
Warming Centre,Winter Programs,Mixed Adult,Emergency,23,23,100
Warming Centre,Winter Programs,Mixed Adult,Emergency,48,48,100
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Transitional,93,93,100
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Transitional,31,35,88.57
24-Hour Respite Site,Base Shelter and Overnight Services System,Mixed Adult,Emergency,77,77,100
24-Hour Respite Site,Winter Programs,Mixed Adult,Emergency,150,150,100
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Emergency,61,61,100
Warming Centre,Winter Programs,Mixed Adult,Emergency,46,46,100
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Transitional,5,5,100
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Transitional,9,10,90
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Emergency,69,69,100
24-Hour Respite Site,Base Shelter and Overnight Services System,Mixed Adult,Emergency,63,69,91.3
Warming Centre,Winter Programs,Mixed Adult,Emergency,60,60,100
24-Hour Respite Site,Winter Programs,Mixed Adult,Emergency,146,150,97.33
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Emergency,112,112,100
24-Hour Respite Site,Temporary Refugee Response,Mixed Adult,Emergency,38,38,100
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Emergency,86,86,100
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Emergency,49,49,100
24-Hour Respite Site,Base Shelter and Overnight Services System,Mixed Adult,Emergency,30,30,100
24-Hour Respite Site,Base Shelter and Overnight Services System,Mixed Adult,Emergency,71,72,98.61
Shelter,Base Program - Refugee,Mixed Adult,Emergency,94,94,100
Shelter,Base Program - Refugee,Mixed Adult,Emergency,6,6,100
24-Hour Respite Site,Base Shelter and Overnight Services System,Mixed Adult,Emergency,32,32,100
Shelter,Base Program - Refugee,Mixed Adult,Emergency,8,8,100
Warming Centre,Winter Programs,Mixed Adult,Emergency,22,23,95.65
Warming Centre,Winter Programs,Mixed Adult,Emergency,46,48,95.83
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Transitional,93,93,100
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Transitional,32,35,91.43
24-Hour Respite Site,Base Shelter and Overnight Services System,Mixed Adult,Emergency,78,78,100
24-Hour Respite Site,Winter Programs,Mixed Adult,Emergency,150,150,100
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Emergency,61,61,100
Warming Centre,Winter Programs,Mixed Adult,Emergency,42,42,100
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Transitional,5,5,100
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Transitional,9,10,90
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Emergency,69,69,100
24-Hour Respite Site,Base Shelter and Overnight Services System,Mixed Adult,Emergency,64,69,92.75
Warming Centre,Winter Programs,Mixed Adult,Emergency,60,60,100
24-Hour Respite Site,Winter Programs,Mixed Adult,Emergency,150,150,100
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Emergency,112,112,100
24-Hour Respite Site,Temporary Refugee Response,Mixed Adult,Emergency,37,37,100
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Emergency,86,86,100
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Emergency,49,49,100
24-Hour Respite Site,Base Shelter and Overnight Services System,Mixed Adult,Emergency,30,30,100
24-Hour Respite Site,Base Shelter and Overnight Services System,Mixed Adult,Emergency,72,72,100
Shelter,Base Program - Refugee,Mixed Adult,Emergency,94,94,100
Shelter,Base Program - Refugee,Mixed Adult,Emergency,6,6,100
24-Hour Respite Site,Base Shelter and Overnight Services System,Mixed Adult,Emergency,32,32,100
Shelter,Base Program - Refugee,Mixed Adult,Emergency,8,8,100
Warming Centre,Winter Programs,Mixed Adult,Emergency,20,21,95.24
Warming Centre,Winter Programs,Mixed Adult,Emergency,44,48,91.67
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Transitional,93,93,100
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Transitional,33,35,94.29
24-Hour Respite Site,Base Shelter and Overnight Services System,Mixed Adult,Emergency,77,78,98.72
24-Hour Respite Site,Winter Programs,Mixed Adult,Emergency,150,150,100
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Emergency,62,62,100
Warming Centre,Winter Programs,Mixed Adult,Emergency,33,34,97.06
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Transitional,5,5,100
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Transitional,9,10,90
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Emergency,69,69,100
24-Hour Respite Site,Base Shelter and Overnight Services System,Mixed Adult,Emergency,64,69,92.75
Warming Centre,Winter Programs,Mixed Adult,Emergency,58,58,100
24-Hour Respite Site,Winter Programs,Mixed Adult,Emergency,149,150,99.33
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Emergency,111,112,99.11
24-Hour Respite Site,Temporary Refugee Response,Mixed Adult,Emergency,37,37,100
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Emergency,86,86,100
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Emergency,48,48,100
24-Hour Respite Site,Base Shelter and Overnight Services System,Mixed Adult,Emergency,30,30,100
24-Hour Respite Site,Base Shelter and Overnight Services System,Mixed Adult,Emergency,72,72,100
Shelter,Base Program - Refugee,Mixed Adult,Emergency,94,94,100
Shelter,Base Program - Refugee,Mixed Adult,Emergency,6,6,100
24-Hour Respite Site,Base Shelter and Overnight Services System,Mixed Adult,Emergency,32,32,100
Shelter,Base Program - Refugee,Mixed Adult,Emergency,8,8,100
Warming Centre,Winter Programs,Mixed Adult,Emergency,20,21,95.24
Warming Centre,Winter Programs,Mixed Adult,Emergency,44,48,91.67
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Transitional,93,93,100
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Transitional,33,35,94.29
24-Hour Respite Site,Base Shelter and Overnight Services System,Mixed Adult,Emergency,78,78,100
24-Hour Respite Site,Winter Programs,Mixed Adult,Emergency,150,150,100
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Emergency,62,62,100
Warming Centre,Winter Programs,Mixed Adult,Emergency,25,28,89.29
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Transitional,5,5,100
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Transitional,10,10,100
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Emergency,69,69,100
24-Hour Respite Site,Base Shelter and Overnight Services System,Mixed Adult,Emergency,63,69,91.3
Warming Centre,Winter Programs,Mixed Adult,Emergency,55,55,100
24-Hour Respite Site,Winter Programs,Mixed Adult,Emergency,150,150,100
Shelter,Base Shelter and Overnight Services System,Mixed Adult,Emergency,111,111,100
